ticker,date,time,title,compound score
AMD,2023-08-02,05:41PM,"AMD Falls After Earnings, Sparks Selloff in Nvidia and Other Chip Stocks",0.0
AMD,2023-08-02,04:52PM,Intel CEO says 'the worst is behind us',-0.6249
AMD,2023-08-02,04:42PM,"AMD forecast, Generac stock plunges, E.l.f. Beauty profit: Trending tickers",0.7717
AMD,2023-08-02,04:33PM,Dow Jones Today: Index Dives on Rating Cut,-0.2732
AMD,2023-08-02,04:17PM,"These Stocks Are Moving the Most Today: Generac, SolarEdge, Paycom, Freshworks, Scotts Miracle-Gro, e.l.f. Beauty, and More",0.5859
AMD,2023-08-02,04:13PM,Stock Market Today: Stocks Slide on Rare U.S. Credit Rating Downgrade,0.3818
AMD,2023-08-02,04:10PM,S&P 500 Has Worst Day Since April After Big Rally: Markets Wrap,-0.6249
AMD,2023-08-02,04:04PM,Chipmaker AMD Cites AI Growth As It Beats Second-Quarter Targets,0.3818
AMD,2023-08-02,04:00PM,US STOCKS-Wall Street ends lower as investors step back after Fitch downgrades US,-0.296
AMD,2023-08-02,03:58PM,"Why Nvidia, Microsoft, Alphabet, and Other AI Stocks Crumbled Today",0.0
AMD,2023-08-02,03:56PM,Why Advanced Micro Devices Stock Is Down Today,0.25
AMD,2023-08-02,02:53PM,AMD shares fall as analysts worry AI chip targets may be ambitious,0.34
AMD,2023-08-02,02:52PM,Chinas Weak Recovery Is a Big Problem For Chip Stocks,-0.6808
AMD,2023-08-02,02:27PM,Our Take on Several Earnings Conference Calls,0.0
AMD,2023-08-02,02:27PM,Our Take on AMD and Several Other Earnings Conference Calls,0.0
AMD,2023-08-02,02:10PM,AMD's AI And Expansion Plans Hold Great Promise Of Catching Up To Nvidia,0.7506
AMD,2023-08-02,12:02PM,Stock Market Losses Deepen At Midday As Nasdaq Tumbles 2.3%; These Stocks Are Damaged,-0.6808
AMD,2023-08-02,11:38AM,"AMD Q2 Earnings Beat, Revenues Hurt by Weak Data Center",-0.743
AMD,2023-08-02,11:36AM,Q2 2023 Advanced Micro Devices Inc Earnings Call,0.25
AMD,2023-08-02,11:33AM,AMD Keeps the AI Dream Alive Enough,0.5574
AMD,2023-08-02,10:54AM,I'm All Aboard AMD and Lisa Su's AI Train: Here's the Plan,0.0258
AMD,2023-08-02,10:39AM,Earnings: Why Q2 may be a bottom,0.0
